epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,365.097,0.93546,0.80191,1.01135,0.54493,0.22686,0.19923,0.09623,2.02921,2.21972,1.69287,0.0004159,0.0004159,0.0004159
61,371.133,0.94153,0.79197,1.00588,0.30931,0.20878,0.20517,0.09934,1.99725,2.12964,1.6788,0.000406,0.000406,0.000406
62,377.142,0.95574,0.81296,1.02286,0.49115,0.21254,0.21082,0.10018,1.99846,2.14634,1.693,0.0003961,0.0003961,0.0003961
63,383.314,0.94802,0.80628,1.01808,0.33655,0.20923,0.20428,0.09723,2.0022,2.1793,1.67773,0.0003862,0.0003862,0.0003862
64,389.338,0.92517,0.78972,1.00563,0.48442,0.21871,0.20986,0.10125,1.9887,2.07382,1.64334,0.0003763,0.0003763,0.0003763
65,395.362,0.91872,0.78048,1.00484,0.33087,0.22662,0.20636,0.10144,1.98537,2.15824,1.66722,0.0003664,0.0003664,0.0003664
66,401.356,0.90638,0.78282,1.0051,0.35925,0.21834,0.21557,0.10272,1.99056,2.14012,1.69607,0.0003565,0.0003565,0.0003565
67,407.393,0.90706,0.768,1.00206,0.53749,0.21216,0.21665,0.1038,1.98244,2.13669,1.66334,0.0003466,0.0003466,0.0003466
68,413.431,0.90451,0.76568,1.00319,0.34397,0.20879,0.20861,0.10182,1.9671,2.10574,1.66689,0.0003367,0.0003367,0.0003367
69,419.456,0.86558,0.73385,0.97357,0.47352,0.2297,0.20708,0.10355,1.9657,2.10297,1.66285,0.0003268,0.0003268,0.0003268
70,425.528,0.88535,0.73269,0.992,0.45906,0.24221,0.22224,0.10611,1.99368,2.11551,1.68189,0.0003169,0.0003169,0.0003169
71,431.653,0.90115,0.74419,0.99903,0.31659,0.23287,0.20955,0.10271,1.96518,2.10341,1.66414,0.000307,0.000307,0.000307
72,437.662,0.88997,0.74852,0.99417,0.31268,0.23136,0.21733,0.10625,1.96181,2.06458,1.6512,0.0002971,0.0002971,0.0002971
73,443.706,0.8878,0.75246,1.00081,0.35003,0.21686,0.21429,0.10472,1.98138,2.08883,1.6561,0.0002872,0.0002872,0.0002872
74,449.769,0.88182,0.72614,0.98409,0.34695,0.21124,0.21571,0.10513,1.97192,2.10959,1.6783,0.0002773,0.0002773,0.0002773
75,455.958,0.87834,0.73561,0.98736,0.49983,0.23031,0.21501,0.10402,1.96482,2.09953,1.6578,0.0002674,0.0002674,0.0002674
76,462.078,0.89729,0.76189,1.00077,0.352,0.21977,0.21593,0.10685,1.97309,2.09459,1.66934,0.0002575,0.0002575,0.0002575
77,468.098,0.8603,0.73142,0.98876,0.36038,0.21655,0.22208,0.11045,1.98622,2.05644,1.66786,0.0002476,0.0002476,0.0002476
78,474.125,0.8654,0.71841,0.98434,0.73805,0.20563,0.22577,0.11008,1.9719,2.05933,1.66282,0.0002377,0.0002377,0.0002377
